id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Jungle,Street Cipher,hip-hop,confident,0.85,95,0.72,0.91,0.08
12,Rainy Season,Hollow Drift,blues,melancholic,0.33,68,0.28,0.42,0.88
13,Cathedral Echo,Vesper Strings,classical,peaceful,0.21,52,0.74,0.18,0.97
14,Neon Bounce,Grid Static,edm,euphoric,0.97,138,0.88,0.95,0.03
15,Back Road Honey,Dusty Pine,country,nostalgic,0.52,104,0.79,0.65,0.76
16,Golden Haze,Sable Moor,r&b,romantic,0.61,88,0.83,0.77,0.44
17,Iron Curtain,Fractured Sky,metal,angry,0.96,168,0.21,0.55,0.04
18,Island Sway,Coral Roots,reggae,joyful,0.58,82,0.87,0.80,0.62
19,Neon Dharma,Petal Ghost,dream pop,nostalgic,0.55,100,0.76,0.68,0.53
20,Velvet Underground,Echo Chamber,soul,melancholic,0.44,76,0.62,0.58,0.67
21,Floating Expanse,Dusk Current,ambient,chill,0.3,50,0.66,0.15,0.74
22,Faded Moan,Echo Collective,blues,nostalgic,0.5,100,0.38,0.4,0.81
23,Warm Corner,Iron Beat,lofi,focused,0.29,79,0.44,0.51,0.74
24,Forever Flow,Haze Tide,r&b,confident,0.45,90,0.59,0.71,0.48
25,Rising Beat,Drifting Fire,r&b,romantic,0.68,84,0.91,0.88,0.59
26,Chaos Devastation,Shining Flame,metal,angry,0.9,149,0.33,0.61,0.06
27,Grinding Machine,Bare Silence,rock,angry,0.84,135,0.71,0.65,0.16
28,Creek Town,Midnight Pulse,country,joyful,0.53,84,0.64,0.8,0.83
29,Red Honky-tonk,Smoke Assembly,country,melancholic,0.42,88,0.65,0.68,0.6
30,Rising Livity,Rust Current,reggae,happy,0.58,71,0.9,0.88,0.46
31,Transistor Oscillation,New Fire,synthwave,intense,0.69,115,0.55,0.87,0.28
32,Slow Memory,Glowing Shade,lofi,chill,0.32,68,0.56,0.7,0.91
33,Morning Barcarolle,Mosaic Lake,classical,peaceful,0.46,78,0.81,0.25,0.84
34,Timeless Melody,Slow Keys,r&b,romantic,0.65,97,0.57,0.9,0.6
35,Surge Beat,Dawn Society,edm,euphoric,0.82,151,0.91,0.99,0.06
36,Late Refrain,Fast Bridge,jazz,romantic,0.49,108,0.64,0.47,0.8
37,Asphalt Drop,Deep Syndicate,hip-hop,moody,0.74,109,0.62,0.78,0.03
38,Frayed Vinyl,Old Current,lofi,chill,0.24,61,0.48,0.69,0.9
39,Steel Cage,Gentle Syndicate,rock,moody,0.78,126,0.58,0.74,0.17
40,Deep Boogie,Wide Signal,blues,melancholic,0.24,83,0.3,0.47,0.91
41,Rising Day,Deep Shade,pop,happy,0.71,110,0.81,0.69,0.09
42,Distant Cloud,Loud Ensemble,dream pop,nostalgic,0.34,106,0.76,0.74,0.69
43,Weary Porch,Raw Creek,blues,nostalgic,0.56,59,0.23,0.32,0.75
44,Tender Specter,Sinking Collective,dream pop,peaceful,0.38,90,0.54,0.44,0.61
45,Fresh Day,Pulse Machine,pop,joyful,0.8,131,0.68,0.96,0.06
46,Chrome Sky,Rising Noise,synthwave,intense,0.59,122,0.45,0.77,0.21
47,Sacred Roots,Calm Frequency,reggae,relaxed,0.48,91,0.74,0.82,0.59
48,Iron Override,Dim Society,rock,intense,0.74,131,0.47,0.47,0.11
49,Unbroken Cage,Ash Groove,rock,angry,0.83,152,0.57,0.64,0.28
50,Bright World,Frozen Mountain,indie pop,nostalgic,0.6,98,0.83,0.61,0.28
51,Asphalt Rhythm,Zenith Agency,hip-hop,moody,0.9,108,0.63,0.96,0.19
52,Smoldering Barricade,Gentle Light,rock,intense,0.81,126,0.54,0.51,0.21
53,Positive Vibes,Silver Stone,reggae,happy,0.59,89,0.86,0.69,0.45
54,Zenith Wave,Chrome Frequency,edm,happy,0.93,142,0.89,0.97,0.05
55,Golden Room,Mosaic Star,jazz,relaxed,0.34,91,0.79,0.54,0.84
56,Broken Night,Sinking Mountain,blues,relaxed,0.57,86,0.25,0.61,0.77
57,Redline Floor,Twilight Drift,edm,happy,0.88,137,0.92,0.98,0.04
58,Calm Verse,Stone Drift,indie pop,happy,0.83,108,0.62,0.87,0.27
59,Submerged Threshold,Copper Storm,ambient,melancholic,0.26,77,0.47,0.43,0.77
60,Fiery Heart,Found Brass,pop,euphoric,0.75,102,0.95,0.94,0.25
61,Still Fog,Melting Star,ambient,relaxed,0.19,63,0.64,0.2,0.89
62,Wrathful Judgment,Mosaic Archive,metal,confident,0.89,171,0.39,0.46,0.03
63,Sweet Backroad,Loud Bureau,country,happy,0.57,90,0.8,0.59,0.75
64,Dusty Heart,Rising Surge,country,happy,0.7,89,0.57,0.58,0.68
65,Rusted Uprising,Blazing Project,rock,angry,0.91,142,0.47,0.51,0.19
66,Dusty Corner,Twilight Tower,lofi,nostalgic,0.37,93,0.49,0.67,0.77
67,Diaphanous Breath,Still System,dream pop,romantic,0.7,100,0.68,0.66,0.51
68,Fading Suggestion,Quiet Melody,dream pop,melancholic,0.66,89,0.74,0.59,0.56
69,Tempestuous Nocturne,Floating Groove,classical,melancholic,0.19,80,0.84,0.12,0.83
70,Merciless War,Drifting Voltage,metal,angry,0.91,157,0.29,0.5,0.03
71,One Rhythm,Bound Snow,reggae,peaceful,0.4,88,0.78,0.76,0.77
72,Positive Love,Raw Current,reggae,relaxed,0.55,67,0.8,0.83,0.74
73,Plasma Core,Dim Brass,synthwave,moody,0.89,123,0.56,0.61,0.21
